Client_ID,Count,Vehicle_Year,Claim_frequency
1,143,505,"0,283168316831683"
2,129,487,"0,264887063655031"
3,158,509,"0,31041257367387"
4,160,493,"0,324543610547667"
5,169,494,"0,342105263157895"
6,164,506,"0,324110671936759"
7,145,488,"0,297131147540984"
8,158,505,"0,312871287128713"
9,170,499,"0,340681362725451"
10,133,508,"0,261811023622047"
11,143,494,"0,289473684210526"
12,147,501,"0,293413173652695"
13,143,510,"0,280392156862745"
14,167,502,"0,332669322709163"
15,157,501,"0,313373253493014"
16,133,506,"0,262845849802371"
17,151,489,"0,30879345603272"
18,138,506,"0,272727272727273"
19,132,524,"0,251908396946565"
20,124,506,"0,245059288537549"
21,151,505,"0,299009900990099"
22,136,508,"0,267716535433071"
23,161,494,"0,325910931174089"
24,148,494,"0,299595141700405"
25,168,500,"0,336"
26,158,484,"0,326446280991736"
27,128,497,"0,257545271629779"
28,128,501,"0,255489021956088"
29,135,504,"0,267857142857143"
30,163,502,"0,324701195219123"
31,160,495,"0,323232323232323"
32,170,512,"0,33203125"
33,167,496,"0,336693548387097"
34,147,513,"0,286549707602339"
35,139,513,"0,270955165692008"
36,138,493,"0,279918864097363"
37,161,509,"0,316306483300589"
38,164,510,"0,32156862745098"
39,154,501,"0,307385229540918"
40,147,510,"0,288235294117647"
41,144,506,"0,284584980237154"
42,155,499,"0,31062124248497"
43,152,506,"0,300395256916996"
44,156,516,"0,302325581395349"
45,164,500,"0,328"
46,127,498,"0,255020080321285"
47,145,503,"0,288270377733598"
48,161,489,"0,329243353783231"
49,161,495,"0,325252525252525"
50,124,504,"0,246031746031746"
51,114,493,"0,231237322515213"
52,161,481,"0,334719334719335"
53,151,515,"0,293203883495146"
54,148,502,"0,294820717131474"
55,153,500,"0,306"
56,162,502,"0,322709163346614"
57,133,503,"0,26441351888668"
58,160,496,"0,32258064516129"
59,153,483,"0,316770186335404"
60,131,489,"0,267893660531697"
61,158,492,"0,321138211382114"
62,149,503,"0,296222664015905"
63,146,514,"0,284046692607004"
64,146,485,"0,301030927835051"
65,127,515,"0,246601941747573"
66,146,521,"0,280230326295585"
67,165,499,"0,330661322645291"
68,153,500,"0,306"
69,143,492,"0,290650406504065"
70,143,503,"0,284294234592445"
71,138,485,"0,284536082474227"
72,141,500,"0,282"
73,145,497,"0,291750503018109"
74,151,494,"0,305668016194332"
75,164,495,"0,331313131313131"
76,155,493,"0,314401622718053"
77,153,490,"0,312244897959184"
78,148,516,"0,286821705426357"
79,162,485,"0,334020618556701"
80,143,502,"0,284860557768924"
81,135,503,"0,268389662027833"
82,137,502,"0,272908366533865"
83,134,499,"0,268537074148297"
84,160,494,"0,323886639676113"
85,115,498,"0,230923694779116"
86,169,498,"0,339357429718875"
87,161,495,"0,325252525252525"
88,142,495,"0,286868686868687"
89,158,497,"0,317907444668008"
90,152,490,"0,310204081632653"
91,141,523,"0,269598470363289"
92,152,489,"0,310838445807771"
93,138,496,"0,278225806451613"
94,150,510,"0,294117647058823"
95,140,483,"0,289855072463768"
96,151,497,"0,303822937625754"
97,144,505,"0,285148514851485"
98,165,497,"0,331991951710262"
99,147,508,"0,289370078740157"
100,165,500,"0,33"
101,156,504,"0,30952380952381"
102,135,486,"0,277777777777778"
103,158,508,"0,311023622047244"
104,176,502,"0,350597609561753"
105,156,496,"0,314516129032258"
106,153,503,"0,304174950298211"
107,162,495,"0,327272727272727"
108,137,499,"0,274549098196393"
109,145,489,"0,296523517382413"
110,135,512,"0,263671875"
111,139,506,"0,274703557312253"
112,144,508,"0,283464566929134"
113,138,497,"0,277665995975855"
114,156,493,"0,316430020283976"
115,135,488,"0,276639344262295"
116,159,495,"0,321212121212121"
117,166,492,"0,33739837398374"
